Advertiser_ID,Advertiser_Name,Line_Item_ID,Line_Item_Name,Line_Item_Status,Daily_Spend,Floodlight_Activity_ID,Floodlight_Name,Counting_Method,Floodlight_Status,Lookback_Window_Days,Last_Conversion_Date,Impressions_Last_24h,Clicks_Last_24h,Cookie_Consented_Count,Cookie_Unconsented_Count,GTM_Container_Link
ADV_1018,Advertiser_ADV_1018,LI_5430,Campaign_Q2_Display,ACTIVE,864.57,FL_9015,Activity_FL_9015,Session,ACTIVE,30,2026-01-30,11219,975,200,30,GTM-XYZ111
ADV_1042,Advertiser_ADV_1042,LI_8248,Campaign_Q2_Display,ACTIVE,1587.7,FL_9069,Activity_FL_9069,Unique,ACTIVE,30,2026-01-30,40488,715,650,85,GTM-XYZ127
ADV_1015,Advertiser_ADV_1015,LI_7491,Campaign_Q2_Display,ACTIVE,209.08,FL_9022,Activity_FL_9022,Session,ACTIVE,30,2026-01-30,49937,852,353,78,GTM-XYZ123
ADV_1012,Advertiser_ADV_1012,LI_5729,Campaign_Q1_Display,ACTIVE,560.81,FL_9013,Activity_FL_9013,Unique,ACTIVE,30,2026-01-30,32199,682,330,54,GTM-XYZ131
ADV_1019,Advertiser_ADV_1019,LI_9499,Campaign_Q2_Display,ACTIVE,4615.35,FL_9078,Activity_FL_9078,Unique,ACTIVE,30,2026-01-30,27545,740,455,38,GTM-XYZ108
ADV_1048,Advertiser_ADV_1048,LI_8989,Campaign_Q2_Display,ACTIVE,2451.42,FL_9049,Activity_FL_9049,Standard,ACTIVE,30,2026-01-30,8827,534,633,37,GTM-XYZ107
ADV_1008,Advertiser_ADV_1008,LI_5093,Campaign_Spring_Display,ACTIVE,4651.67,FL_9042,Activity_FL_9042,Unique,ACTIVE,30,2026-01-30,16449,503,331,83,GTM-XYZ107
ADV_1006,Advertiser_ADV_1006,LI_9660,Campaign_Q2_Display,ACTIVE,3032.72,FL_9086,Activity_FL_9086,Session,ACTIVE,30,2026-01-30,7906,862,625,45,GTM-XYZ142
ADV_1006,Advertiser_ADV_1006,LI_5418,Campaign_Q1_Display,ACTIVE,637.31,FL_9023,Activity_FL_9023,Session,ACTIVE,30,2026-01-30,7896,379,715,34,GTM-XYZ111
ADV_1012,Advertiser_ADV_1012,LI_6963,Campaign_Q2_Display,ACTIVE,4265.89,FL_9072,Activity_FL_9072,Session,ACTIVE,30,2026-01-30,43898,108,130,16,GTM-XYZ111
ADV_1025,Advertiser_ADV_1025,LI_5753,Campaign_Q1_Display,ACTIVE,725.97,FL_9027,Activity_FL_9027,Unique,ACTIVE,30,2026-01-30,10147,587,241,54,GTM-XYZ145
ADV_1010,Advertiser_ADV_1010,LI_5903,Campaign_Q2_Display,ACTIVE,4967.43,FL_9015,Activity_FL_9015,Session,ACTIVE,30,2026-01-30,29018,425,195,73,GTM-XYZ136
ADV_1035,Advertiser_ADV_1035,LI_9483,Campaign_Q2_Display,ACTIVE,3591.4,FL_9050,Activity_FL_9050,Standard,ACTIVE,30,2026-01-30,45141,748,664,61,GTM-XYZ141
ADV_1020,Advertiser_ADV_1020,LI_6728,Campaign_Spring_Display,ACTIVE,2738.2,FL_9056,Activity_FL_9056,Session,ACTIVE,30,2026-01-30,37449,99,888,48,GTM-XYZ112
ADV_1028,Advertiser_ADV_1028,LI_6113,Campaign_Q2_Display,ACTIVE,778.21,FL_9024,Activity_FL_9024,Standard,ACTIVE,30,2026-01-30,33823,605,299,67,GTM-XYZ108
ADV_1005,Advertiser_ADV_1005,LI_8068,Campaign_Q1_Display,ACTIVE,4767.46,nan,Activity_FL_9088,Session,ACTIVE,30,2026-01-30,30325,623,238,63,GTM-XYZ150
ADV_1012,Advertiser_ADV_1012,LI_7333,Campaign_Spring_Display,ACTIVE,164.36,FL_9004,Activity_FL_9004,Standard,ACTIVE,30,2026-01-30,4179,638,285,43,GTM-XYZ141
ADV_1049,Advertiser_ADV_1049,LI_6174,Campaign_Spring_Display,ACTIVE,237.79,FL_9074,Activity_FL_9074,Unique,ACTIVE,30,2026-01-30,16168,920,620,82,GTM-XYZ143
ADV_1002,Advertiser_ADV_1002,LI_5662,Campaign_Spring_Display,ACTIVE,4718.95,FL_9084,Activity_FL_9084,Standard,ACTIVE,30,2026-01-30,7511,618,597,90,GTM-XYZ132
ADV_1025,Advertiser_ADV_1025,LI_7473,Campaign_Q2_Display,ACTIVE,1939.34,FL_9071,Activity_FL_9071,Standard,ACTIVE,30,2026-01-30,11120,848,277,95,GTM-XYZ134
ADV_1010,Advertiser_ADV_1010,LI_9100,Campaign_Q2_Display,ACTIVE,4097.7,FL_9021,Activity_FL_9021,Unique,ACTIVE,30,2026-01-30,9914,665,142,73,GTM-XYZ141
ADV_1044,Advertiser_ADV_1044,LI_9049,Campaign_Spring_Display,ACTIVE,1763.99,FL_9049,Activity_FL_9049,Session,ACTIVE,30,2026-01-30,6093,939,372,85,GTM-XYZ126
ADV_1037,Advertiser_ADV_1037,LI_7048,Campaign_Q2_Display,ACTIVE,133.27,FL_9063,Activity_FL_9063,Session,ACTIVE,30,2026-01-30,2380,938,553,30,GTM-XYZ123
ADV_1019,Advertiser_ADV_1019,LI_6600,Campaign_Q1_Display,ACTIVE,2748.87,FL_9026,Activity_FL_9026,Standard,ACTIVE,30,2026-01-30,28707,767,355,52,GTM-XYZ125
ADV_1023,Advertiser_ADV_1023,LI_9926,Campaign_Spring_Display,ACTIVE,991.54,FL_9092,Activity_FL_9092,Standard,ACTIVE,30,2026-01-30,26584,142,203,25,GTM-XYZ130
ADV_1046,Advertiser_ADV_1046,LI_5095,Campaign_Q2_Display,ACTIVE,1831.71,FL_9066,Activity_FL_9066,Unique,ACTIVE,30,2026-01-30,39154,182,589,85,GTM-XYZ102
ADV_1038,Advertiser_ADV_1038,LI_5791,Campaign_Q2_Display,ACTIVE,3855.09,FL_9031,Activity_FL_9031,Standard,ACTIVE,30,2026-01-30,25144,741,770,99,GTM-XYZ131
ADV_1049,Advertiser_ADV_1049,LI_6283,Campaign_Q2_Display,ACTIVE,4899.59,FL_9074,Activity_FL_9074,Unique,ACTIVE,30,2026-01-30,17977,761,296,45,GTM-XYZ137
ADV_1019,Advertiser_ADV_1019,LI_8061,Campaign_Q2_Display,ACTIVE,286.89,FL_9002,Activity_FL_9002,Session,ACTIVE,30,2026-01-30,11835,155,980,16,GTM-XYZ106
ADV_1038,Advertiser_ADV_1038,LI_9864,Campaign_Q2_Display,ACTIVE,335.61,FL_9069,Activity_FL_9069,Session,ACTIVE,30,2026-01-30,25303,406,969,48,GTM-XYZ132
ADV_1021,Advertiser_ADV_1021,LI_7422,Campaign_Q2_Display,ACTIVE,429.27,FL_9085,Activity_FL_9085,Standard,ACTIVE,30,2026-01-30,42755,635,727,26,GTM-XYZ120
ADV_1042,Advertiser_ADV_1042,LI_5086,Campaign_Q2_Display,ACTIVE,122.91,FL_9086,Activity_FL_9086,Standard,ACTIVE,30,2026-01-30,5100,730,335,62,GTM-XYZ148
ADV_1048,Advertiser_ADV_1048,LI_5044,Campaign_Q1_Display,ACTIVE,2438.36,FL_9077,Activity_FL_9077,Unique,ACTIVE,30,2026-01-30,15677,841,514,41,GTM-XYZ144
ADV_1014,Advertiser_ADV_1014,LI_8072,Campaign_Q2_Display,ACTIVE,422.11,FL_9055,Activity_FL_9055,Unique,ACTIVE,30,2026-01-30,25883,912,353,21,GTM-XYZ100
ADV_1009,Advertiser_ADV_1009,LI_9825,Campaign_Q1_Display,ACTIVE,4197.06,FL_9013,Activity_FL_9013,Session,ACTIVE,30,2026-01-30,2466,826,110,80,GTM-XYZ108
ADV_1038,Advertiser_ADV_1038,LI_8695,Campaign_Q2_Display,ACTIVE,2268.12,FL_9078,Activity_FL_9078,Standard,ACTIVE,30,2026-01-30,27765,720,703,59,GTM-XYZ109
ADV_1046,Advertiser_ADV_1046,LI_8013,Campaign_Spring_Display,ACTIVE,878.14,FL_9049,Activity_FL_9049,Session,ACTIVE,30,2026-01-30,4685,411,0,97,GTM-XYZ149
ADV_1047,Advertiser_ADV_1047,LI_5491,Campaign_Q2_Display,ACTIVE,1009.91,FL_9082,Activity_FL_9082,Standard,ACTIVE,30,2026-01-30,17539,752,0,14,GTM-XYZ127
ADV_1007,Advertiser_ADV_1007,LI_9789,Campaign_Spring_Display,ACTIVE,1499.78,nan,Activity_FL_9016,Session,ACTIVE,30,2026-01-30,5779,498,879,95,GTM-XYZ141
ADV_1034,Advertiser_ADV_1034,LI_6141,Campaign_Q2_Display,ACTIVE,2743.43,FL_9086,Activity_FL_9086,Unique,ACTIVE,30,2026-01-30,31708,773,463,19,GTM-XYZ125
ADV_1018,Advertiser_ADV_1018,LI_9257,Campaign_Q2_Display,ACTIVE,2822.04,FL_9005,Activity_FL_9005,Unique,ACTIVE,30,2026-01-30,47729,919,665,81,GTM-XYZ119
ADV_1049,Advertiser_ADV_1049,LI_8567,Campaign_Q2_Display,ACTIVE,2329.37,FL_9017,Activity_FL_9017,Session,ACTIVE,30,2026-01-30,23221,192,389,80,GTM-XYZ113
ADV_1004,Advertiser_ADV_1004,LI_9772,Campaign_Q1_Display,ACTIVE,1042.23,FL_9022,Activity_FL_9022,Standard,ACTIVE,30,2026-01-30,35213,883,271,83,GTM-XYZ148
ADV_1019,Advertiser_ADV_1019,LI_8022,Campaign_Q2_Display,ACTIVE,1601.18,FL_9035,Activity_FL_9035,Unique,ACTIVE,30,2026-01-30,49591,606,209,53,GTM-XYZ118
ADV_1005,Advertiser_ADV_1005,LI_6774,Campaign_Q2_Display,ACTIVE,1199.76,FL_9030,Activity_FL_9030,Unique,ACTIVE,30,2026-01-30,27309,230,649,22,GTM-XYZ105
ADV_1001,Advertiser_ADV_1001,LI_6189,Campaign_Q1_Display,ACTIVE,2633.51,FL_9009,Activity_FL_9009,Session,ACTIVE,30,2026-01-30,4104,504,532,72,GTM-XYZ141
ADV_1003,Advertiser_ADV_1003,LI_9102,Campaign_Spring_Display,ACTIVE,2874.7,FL_9040,Activity_FL_9040,Standard,ACTIVE,30,2026-01-30,16379,671,583,84,GTM-XYZ138
ADV_1016,Advertiser_ADV_1016,LI_5434,Campaign_Q1_Display,ACTIVE,1335.08,FL_9041,Activity_FL_9041,Unique,ACTIVE,30,2026-01-30,35762,656,953,40,GTM-XYZ104
ADV_1011,Advertiser_ADV_1011,LI_6719,Campaign_Spring_Display,ACTIVE,840.72,FL_9030,Activity_FL_9030,Unique,ACTIVE,30,2026-01-30,35683,548,518,89,GTM-XYZ128
ADV_1003,Advertiser_ADV_1003,LI_8087,Campaign_Q1_Display,ACTIVE,2944.85,FL_9012,Activity_FL_9012,Standard,ACTIVE,30,2026-01-30,15808,743,206,21,GTM-XYZ132
ADV_1036,Advertiser_ADV_1036,LI_9592,Campaign_Q2_Display,ACTIVE,2761.84,FL_9045,Activity_FL_9045,Standard,ACTIVE,30,2026-01-30,38496,82,749,66,GTM-XYZ120
