Container_ID,Tag_ID,Tag_Name,Status,Trigger_Name,Linked_Floodlight_ID,Conversion_Linker_Enabled,Advertiser_ID_Config,Configured_Counting_Method,Consent_Settings
GTM-XYZ149,TAG_3959,DV360_Floodlight,Live,Page View - All Pages,FL_9043,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ122,TAG_5236,DV360_Floodlight,Live,Page View - All Pages,FL_9082,True,ADV_1025,Standard,"ad_storage,analytics_storage"
GTM-XYZ110,TAG_9610,DV360_Floodlight,Live,Page View - All Pages,FL_9056,True,ADV_1035,Standard,"ad_storage,analytics_storage"
GTM-XYZ121,TAG_8936,DV360_Floodlight,Live,Page View - All Pages,FL_9037,True,ADV_1018,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_3431,DV360_Floodlight,Live,Page View - All Pages,FL_9080,True,ADV_1029,Standard,"ad_storage,analytics_storage"
GTM-XYZ124,TAG_2824,DV360_Floodlight,Live,Page View - All Pages,FL_9096,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ122,TAG_9324,DV360_Floodlight,Live,Page View - All Pages,FL_9067,True,ADV_1011,Standard,"ad_storage,analytics_storage"
GTM-XYZ144,TAG_1098,DV360_Floodlight,Live,Page View - All Pages,FL_9035,True,ADV_1024,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_2491,DV360_Floodlight,Live,Page View - All Pages,FL_9090,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ107,TAG_8120,DV360_Floodlight,Live,Page View - All Pages,FL_9090,True,ADV_1040,Standard,"ad_storage,analytics_storage"
GTM-XYZ113,TAG_9014,DV360_Floodlight,Live,Page View - All Pages,FL_9074,True,ADV_1019,Standard,"ad_storage,analytics_storage"
GTM-XYZ143,TAG_6622,DV360_Floodlight,Live,Page View - All Pages,FL_9030,True,ADV_1048,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_8575,DV360_Floodlight,Live,Page View - All Pages,FL_9088,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ134,TAG_3960,DV360_Floodlight,Live,Page View - All Pages,FL_9042,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_5371,DV360_Floodlight,Live,Page View - All Pages,FL_9036,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ113,TAG_4683,DV360_Floodlight,Live,Page View - All Pages,FL_9016,True,ADV_1040,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_7941,DV360_Floodlight,Live,Page View - All Pages,FL_9050,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ139,TAG_7375,DV360_Floodlight,Live,Page View - All Pages,FL_9014,True,ADV_1034,Standard,"ad_storage,analytics_storage"
GTM-XYZ114,TAG_1722,DV360_Floodlight,Live,Page View - All Pages,FL_9062,True,ADV_1012,Standard,"ad_storage,analytics_storage"
GTM-XYZ119,TAG_9878,DV360_Floodlight,Live,Page View - All Pages,FL_9042,True,ADV_1042,Standard,"ad_storage,analytics_storage"
GTM-XYZ126,TAG_8017,DV360_Floodlight,Live,Page View - All Pages,FL_9008,True,ADV_1016,Standard,"ad_storage,analytics_storage"
GTM-XYZ134,TAG_2854,DV360_Floodlight,Live,Page View - All Pages,FL_9068,True,ADV_1044,Standard,"ad_storage,analytics_storage"
GTM-XYZ109,TAG_7366,DV360_Floodlight,Live,Page View - All Pages,FL_9079,True,ADV_1037,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_4032,DV360_Floodlight,Live,Page View - All Pages,FL_9065,True,ADV_1002,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_6848,DV360_Floodlight,Live,Page View - All Pages,FL_9100,True,ADV_1004,Standard,"ad_storage,analytics_storage"
GTM-XYZ135,TAG_5798,DV360_Floodlight,Live,Page View - All Pages,FL_9017,True,ADV_1031,Standard,"ad_storage,analytics_storage"
GTM-XYZ120,TAG_5593,DV360_Floodlight,Live,Page View - All Pages,FL_9017,True,ADV_1016,Standard,"ad_storage,analytics_storage"
GTM-XYZ114,TAG_4268,DV360_Floodlight,Live,Page View - All Pages,FL_9028,True,ADV_1017,Standard,"ad_storage,analytics_storage"
GTM-XYZ146,TAG_7953,DV360_Floodlight,Live,Page View - All Pages,FL_9045,True,ADV_1009,Standard,"ad_storage,analytics_storage"
GTM-XYZ148,TAG_9650,DV360_Floodlight,Live,Page View - All Pages,FL_9039,True,ADV_1040,Standard,"ad_storage,analytics_storage"
GTM-XYZ108,TAG_4221,DV360_Floodlight,Live,Page View - All Pages,FL_9040,True,ADV_1034,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_2885,DV360_Floodlight,Live,Page View - All Pages,FL_9020,True,ADV_1023,Standard,"ad_storage,analytics_storage"
GTM-XYZ107,TAG_7770,DV360_Floodlight,Live,Page View - All Pages,FL_9080,True,ADV_1018,Standard,"ad_storage,analytics_storage"
GTM-XYZ101,TAG_7451,DV360_Floodlight,Live,Page View - All Pages,FL_9029,True,ADV_1050,Standard,"ad_storage,analytics_storage"
GTM-XYZ145,TAG_6411,DV360_Floodlight,Live,Page View - All Pages,FL_9013,True,ADV_1026,Standard,"ad_storage,analytics_storage"
GTM-XYZ122,TAG_1519,DV360_Floodlight,Live,Page View - All Pages,FL_9033,True,ADV_1028,Standard,"ad_storage,analytics_storage"
GTM-XYZ106,TAG_3372,DV360_Floodlight,Live,Page View - All Pages,FL_9097,True,ADV_1015,Standard,"ad_storage,analytics_storage"
GTM-XYZ141,TAG_3744,DV360_Floodlight,Live,Page View - All Pages,FL_9044,True,ADV_1017,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_3677,DV360_Floodlight,Live,Page View - All Pages,FL_9095,True,ADV_1021,Standard,"ad_storage,analytics_storage"
GTM-XYZ133,TAG_1153,DV360_Floodlight,Live,Page View - All Pages,FL_9001,True,ADV_1024,Standard,"ad_storage,analytics_storage"
GTM-XYZ126,TAG_3894,DV360_Floodlight,Live,Page View - All Pages,FL_9089,True,ADV_MISMATCH,Standard,"ad_storage,analytics_storage"
GTM-XYZ128,TAG_1287,DV360_Floodlight,Live,Page View - All Pages,FL_9058,True,ADV_1039,Standard,"ad_storage,analytics_storage"
GTM-XYZ105,TAG_6361,DV360_Floodlight,Live,Page View - All Pages,FL_9046,True,ADV_1007,Standard,"ad_storage,analytics_storage"
GTM-XYZ115,TAG_2781,DV360_Floodlight,Live,Page View - All Pages,FL_9083,True,ADV_1044,Standard,"ad_storage,analytics_storage"
GTM-XYZ107,TAG_5306,DV360_Floodlight,Live,Page View - All Pages,FL_9045,True,ADV_1018,Standard,"ad_storage,analytics_storage"
